	E12_1_week_IP_vs_naive_adult_3_IP.enrichment	E12_1_week_IP_vs_naive_adult_3_IP.p	E12_1_week_IP_vs_naive_adult_3_IP.FDR	E12_1_week_IP_vs_naive_adult_3_IP.nonNull	E12_1_week_IP_vs_naive_adult_3_IP.instanceCount	E12_1_week_IP_vs_naive_adult_3_IP.specificity	E12_1_week_IP_vs_naive_adult_3_IP.reliable	E12_2_week_IP_vs_naive_adult_3_IP.enrichment	E12_2_week_IP_vs_naive_adult_3_IP.p	E12_2_week_IP_vs_naive_adult_3_IP.FDR	E12_2_week_IP_vs_naive_adult_3_IP.nonNull	E12_2_week_IP_vs_naive_adult_3_IP.instanceCount	E12_2_week_IP_vs_naive_adult_3_IP.specificity	E12_2_week_IP_vs_naive_adult_3_IP.reliable	E12_3_day_IP_vs_naive_adult_3_IP.enrichment	E12_3_day_IP_vs_naive_adult_3_IP.p	E12_3_day_IP_vs_naive_adult_3_IP.FDR	E12_3_day_IP_vs_naive_adult_3_IP.nonNull	E12_3_day_IP_vs_naive_adult_3_IP.instanceCount	E12_3_day_IP_vs_naive_adult_3_IP.specificity	E12_3_day_IP_vs_naive_adult_3_IP.reliable	naive_1_week_IP_vs_naive_adult_3_IP.enrichment	naive_1_week_IP_vs_naive_adult_3_IP.p	naive_1_week_IP_vs_naive_adult_3_IP.FDR	naive_1_week_IP_vs_naive_adult_3_IP.nonNull	naive_1_week_IP_vs_naive_adult_3_IP.instanceCount	naive_1_week_IP_vs_naive_adult_3_IP.specificity	naive_1_week_IP_vs_naive_adult_3_IP.reliable	naive_2_weeks_IP_vs_naive_adult_3_IP.enrichment	naive_2_weeks_IP_vs_naive_adult_3_IP.p	naive_2_weeks_IP_vs_naive_adult_3_IP.FDR	naive_2_weeks_IP_vs_naive_adult_3_IP.nonNull	naive_2_weeks_IP_vs_naive_adult_3_IP.instanceCount	naive_2_weeks_IP_vs_naive_adult_3_IP.specificity	naive_2_weeks_IP_vs_naive_adult_3_IP.reliable	naive_3_days_IP_vs_naive_adult_3_IP.enrichment	naive_3_days_IP_vs_naive_adult_3_IP.p	naive_3_days_IP_vs_naive_adult_3_IP.FDR	naive_3_days_IP_vs_naive_adult_3_IP.nonNull	naive_3_days_IP_vs_naive_adult_3_IP.instanceCount	naive_3_days_IP_vs_naive_adult_3_IP.specificity	naive_3_days_IP_vs_naive_adult_3_IP.reliable
selegiline	-0.39344262295082	0.45758	0.758192683544304	0.25	4	0.414012738853503	FALSE	-0.408032786885246	0.41184	0.721684819277108	0.5	4	0.369426751592357	FALSE	0.395573770491803	0.45113	0.83761374301676	0.25	4	0.320512820512821	FALSE	0.413770491803279	0.39435	0.750296729651163	0.75	4	0.262820512820513	TRUE	-0.27016393442623	0.85561	0.965511629310345	0.5	4	0.878980891719745	FALSE	0.224426229508197	0.96229	0.989353296703297	0.5	4	0.891025641025641	FALSE
6-azathymine	0.609016393442623	0.0598	0.309831023622047	1	4	0.101449275362319	TRUE	0.365409836065574	0.55094	0.794251607929515	0.75	4	0.63768115942029	TRUE	0.491639344262295	0.20099	0.630925443645084	0.75	4	0.304347826086957	TRUE	0.760655737704918	0.0066	0.089470824742268	1	4	0	TRUE	-0.705573770491803	0.01505	0.214135326086957	1	4	0.028735632183908	TRUE	0.281639344262295	0.82402	0.966955147190009	0.25	4	0.876811594202899	FALSE
omeprazole	0.708688524590164	0.01435	0.140570970149254	1	4	0.073394495412844	TRUE	0.554754098360656	0.1114	0.407325698324022	0.75	4	0.220183486238532	TRUE	0.582622950819672	0.08231	0.49147	0.75	4	0.211009174311927	TRUE	0.605081967213115	0.06292	0.350477787234043	0.75	4	0.18348623853211	TRUE	-0.208032786885246	0.98228	0.998604378834356	0.5	4	0.995073891625616	FALSE	0.44327868852459	0.30985	0.782256435272045	0.5	4	0.403669724770642	FALSE
cetirizine	0.524918032786885	0.15006	0.490401670822943	0.75	4	0.247619047619048	TRUE	0.6	0.06696	0.333182172284644	1	4	0.133333333333333	TRUE	0.471311475409836	0.24242	0.681404127659574	0.75	4	0.419047619047619	TRUE	0.307540983606557	0.74524	0.924817128060264	0.5	4	0.828571428571429	FALSE	0.406393442622951	0.41705	0.854010358255452	0	4	0.60952380952381	FALSE	0.484098360655738	0.21515	0.735329895561358	0.25	4	0.371428571428571	FALSE
norcyclobenzaprine	0.513934426229508	0.16489	0.509373075117371	0.75	4	0.346153846153846	TRUE	0.445081967213115	0.30528	0.648451954765751	0.5	4	0.516483516483517	FALSE	0.79655737704918	0.00345	0.064702	1	4	0.043956043956044	TRUE	0.397704918032787	0.44446	0.7806225	0.5	4	0.631868131868132	FALSE	-0.500983606557377	0.18479	0.689705014245014	0.75	4	0.415384615384615	TRUE	-0.338032786885246	0.64378	0.912021666666667	0.5	4	0.746153846153846	FALSE
L-methionine sulfoximine	0.289344262295082	0.80094	0.924541851851852	0.75	4	0.739130434782609	TRUE	-0.228688524590164	0.95533	0.983118687106918	0.5	4	0.936781609195402	FALSE	0.347540983606557	0.61146	0.89814716367713	0.5	4	0.536231884057971	FALSE	0.239180327868852	0.93374	0.97845132	0.5	4	0.91304347826087	FALSE	0.302950819672131	0.76007	0.943985164938737	0.25	4	0.717391304347826	FALSE	-0.314098360655738	0.72403	0.94732186440678	0.5	4	0.71264367816092	FALSE
phenacetin	0.506393442622951	0.17591	0.522089615384615	0.75	4	0.106870229007634	TRUE	0.34655737704918	0.61495	0.829010865087539	0.75	4	0.549618320610687	TRUE	0.291147540983607	0.79559	0.935147719928187	0.25	4	0.801526717557252	FALSE	0.449508196721311	0.29373	0.682420691489362	0.5	4	0.236641221374046	FALSE	0.511311475409836	0.16854	0.672618475609756	0.5	4	0.106870229007634	FALSE	0.469016393442623	0.24713	0.764279325153374	0.5	4	0.206106870229008	FALSE
betahistine	0.487868852459016	0.20792	0.567033762993763	0.75	4	0.299270072992701	TRUE	0.502131147540984	0.18289	0.49979751565762	0.75	4	0.277372262773723	TRUE	0.70672131147541	0.01481	0.188642803738318	1	4	0.0218978102189781	TRUE	0.550983606557377	0.11617	0.471827874251497	0.75	4	0.18978102189781	TRUE	-0.461475409836066	0.26429	0.746158150537634	0.75	4	0.445714285714286	TRUE	0.602786885245902	0.06485	0.486178870056497	0.25	4	0.138686131386861	FALSE
benperidol	0.261639344262295	0.87745	0.957675308333333	0.5	4	0.846666666666667	FALSE	-0.259180327868852	0.88369	0.950493188167625	0.5	4	0.895705521472393	FALSE	0.445737704918033	0.30366	0.7361921875	0.5	4	0.253333333333333	FALSE	-0.253770491803279	0.89672	0.966806930041152	0.5	4	0.901840490797546	FALSE	0.301311475409836	0.76514	0.943985164938737	0.5	4	0.713333333333333	FALSE	0.301639344262295	0.7641	0.953153571428571	0.5	4	0.713333333333333	FALSE
propylthiouracil	0.573114754098361	0.09152	0.398005581395349	1	4	0.225	TRUE	0.554754098360656	0.11127	0.407325698324022	1	4	0.241666666666667	TRUE	0.658524590163934	0.03055	0.289486762589928	1	4	0.0666666666666667	TRUE	0.584098360655738	0.08089	0.405491368821293	1	4	0.2	TRUE	-0.212459016393443	0.9779	0.998604378834356	0.25	4	0.994791666666667	FALSE	0.269672131147541	0.85723	0.969590196917808	0.5	4	0.891666666666667	FALSE
etifenin	-0.362622950819672	0.56078	0.812113403083701	0.25	4	0.597701149425287	FALSE	-0.448852459016393	0.29524	0.635015213114754	0.5	4	0.344827586206897	FALSE	-0.403770491803279	0.42493	0.823275798816568	0.25	4	0.494252873563218	FALSE	0.337049180327869	0.64726	0.891521028331584	0.75	4	0.652173913043478	TRUE	0.364754098360656	0.55334	0.904272234706617	0.25	4	0.514492753623188	FALSE	-0.201803278688525	0.98689	0.994487305619707	0.25	4	0.977011494252874	FALSE
pyrazinamide	0.441967213114754	0.31342	0.662652359550562	0.5	4	0.322834645669291	FALSE	0.579672131147541	0.08511	0.367686435643564	1	4	0.094488188976378	TRUE	0.721967213114754	0.01167	0.162510957446808	1	4	0.015748031496063	TRUE	0.827049180327869	0.00169	0.0283616666666667	1	4	0	TRUE	-0.48344262295082	0.21665	0.710083656716418	0.75	4	0.362162162162162	TRUE	0.614918032786885	0.05547	0.456668113207547	0.75	4	0.078740157480315	TRUE
tiabendazole	0.487704918032787	0.20836	0.567033762993763	0.75	4	0.207547169811321	TRUE	0.678524590163934	0.02273	0.180324666666667	1	4	0	TRUE	0.56	0.10562	0.513964981412639	0.75	4	0.0754716981132075	TRUE	0.791147540983607	0.00383	0.05697125	1	4	0	TRUE	-0.44	0.31852	0.786433421052632	0	4	0.533980582524272	FALSE	0.518360655737705	0.15893	0.673060447761194	0.75	4	0.113207547169811	TRUE
atovaquone	0.287868852459016	0.91456	0.970931905920519	0.333333333333333	3	0.929133858267717	FALSE	0.318415300546448	0.83172	0.928943242320819	0.333333333333333	3	0.826771653543307	FALSE	-0.393879781420765	0.611	0.89814716367713	0.333333333333333	3	0.702702702702703	FALSE	0.291967213114754	0.90556	0.9684356	0.666666666666667	3	0.921259842519685	TRUE	-0.325300546448087	0.80807	0.952836534653465	0.333333333333333	3	0.827027027027027	FALSE	-0.301530054644809	0.8821	0.971422713567839	0.333333333333333	3	0.924324324324324	FALSE
tobramycin	0.423770491803279	0.36416	0.70141851744186	0.75	4	0.485074626865672	TRUE	0.482786885245902	0.21794	0.551805531914894	0.75	4	0.358208955223881	TRUE	0.695573770491803	0.01766	0.201016869565217	1	4	0.0597014925373134	TRUE	0.595737704918033	0.07059	0.382696260162602	1	4	0.208955223880597	TRUE	-0.603934426229508	0.06392	0.496573	0.75	4	0.162921348314607	TRUE	-0.465409836065574	0.25494	0.764279325153374	0.5	4	0.528089887640449	FALSE
tolazamide	-0.454699453551913	0.44506	0.752982706480305	0.666666666666667	3	0.333333333333333	TRUE	-0.413060109289618	0.55744	0.796807407407407	0.333333333333333	3	0.42962962962963	FALSE	0.240546448087432	0.98116	0.994107762452107	0.333333333333333	3	0.983050847457627	FALSE	-0.38224043715847	0.64264	0.891118389830508	0.333333333333333	3	0.533333333333333	FALSE	-0.295245901639344	0.89812	0.985252957746479	0.333333333333333	3	0.822222222222222	FALSE	0.51655737704918	0.29542	0.77613228	0.333333333333333	3	0.288135593220339	FALSE
cefaclor	-0.564754098360656	0.1003	0.411657931034483	0.75	4	0.172619047619048	TRUE	-0.640327868852459	0.03945	0.267565025906736	0.75	4	0.0952380952380952	TRUE	0.300819672131148	0.76649	0.928094197983501	0.25	4	0.8125	FALSE	-0.386885245901639	0.47818	0.803514274711168	0.5	4	0.583333333333333	FALSE	-0.355409836065574	0.58517	0.915158339307049	0.5	4	0.654761904761905	FALSE	-0.375245901639344	0.51659	0.870341801801802	0.25	4	0.625	FALSE
terconazole	-0.22327868852459	0.96415	0.989156724137931	0.25	4	0.976744186046512	FALSE	0.404426229508197	0.42322	0.728928948751642	0.5	4	0.469945355191257	FALSE	0.289344262295082	0.80114	0.938007388193202	0.25	4	0.836065573770492	FALSE	0.531147540983607	0.14151	0.511442438356164	0.75	4	0.185792349726776	TRUE	-0.375573770491803	0.51525	0.888367795275591	0.5	4	0.449612403100775	FALSE	-0.298360655737705	0.7742	0.953153571428571	0.5	4	0.821705426356589	FALSE
orciprenaline	0.238524590163934	0.93533	0.981194539631705	0.5	4	0.936416184971098	FALSE	0.335737704918033	0.65155	0.85746045	0.5	4	0.630057803468208	FALSE	0.196393442622951	0.99009	0.994107762452107	0.5	4	0.982658959537572	FALSE	0.541967213114754	0.1272	0.488974838709677	0.75	4	0.138728323699422	TRUE	0.520819672131148	0.15549	0.65491821086262	0	4	0.138728323699422	FALSE	-0.321311475409836	0.7001	0.942079694189602	0.25	4	0.714285714285714	FALSE
trimethadione	-0.392622950819672	0.46012	0.758808364779874	0.5	4	0.488095238095238	FALSE	-0.320655737704918	0.70211	0.877911774193548	0.5	4	0.75	FALSE	0.407377049180328	0.41391	0.819489365558912	0.75	4	0.430555555555556	TRUE	0.48344262295082	0.21656	0.604428656716418	0.75	4	0.194444444444444	TRUE	0.477540983606557	0.22831	0.723626610169492	0.25	4	0.208333333333333	FALSE	-0.41672131147541	0.38576	0.819463510466989	0.25	4	0.386904761904762	FALSE
rifampicin	-0.522950819672131	0.15266	0.492906206896552	0.5	4	0.276595744680851	FALSE	-0.577213114754098	0.08738	0.371518770226537	0.5	4	0.212765957446809	FALSE	-0.478032786885246	0.22714	0.673026930022573	0.25	4	0.347517730496454	FALSE	-0.503934426229508	0.17995	0.560844166666667	0.5	4	0.297872340425532	FALSE	0.433114754098361	0.33808	0.809421542553191	0	4	0.555555555555556	FALSE	0.311639344262295	0.73142	0.947949287128713	0.25	4	0.830409356725146	FALSE
methoxamine	-0.46655737704918	0.25243	0.613967142857143	0.5	4	0.384615384615385	FALSE	-0.478688524590164	0.22581	0.564568702290076	0.5	4	0.365384615384615	FALSE	-0.387704918032787	0.47546	0.846977322623829	0.5	4	0.653846153846154	FALSE	-0.547540983606557	0.12009	0.471827874251497	0.5	4	0.211538461538462	FALSE	0.461475409836066	0.26454	0.746158150537634	0.5	4	0.243589743589744	FALSE	-0.433770491803279	0.33635	0.784816666666667	0.5	4	0.493589743589744	FALSE
tetramisole	0.30327868852459	0.7589	0.91473305709024	0.75	4	0.661764705882353	TRUE	0.381475409836066	0.49549	0.762781697674419	0.75	4	0.382352941176471	TRUE	0.228524590163934	0.95554	0.987980881195909	0.25	4	0.926470588235294	FALSE	0.477540983606557	0.22831	0.618753188405797	0.75	4	0.169117647058824	TRUE	-0.223606557377049	0.96364	0.998604378834356	0.5	4	0.977272727272727	FALSE	0.338524590163934	0.64192	0.912021666666667	0.25	4	0.514705882352941	FALSE
nifuroxazide	-0.404590163934426	0.42244	0.745343551401869	0.5	4	0.48936170212766	FALSE	0.294918032786885	0.78414	0.911580159857904	0.5	4	0.824561403508772	FALSE	0.233934426229508	0.94513	0.987980881195909	0.5	4	0.941520467836257	FALSE	0.289016393442623	0.80222	0.942116062780269	0.5	4	0.842105263157895	FALSE	0.27983606557377	0.82915	0.958056754617414	0.25	4	0.847953216374269	FALSE	-0.563770491803279	0.10128	0.564608091286307	0.75	4	0.148936170212766	TRUE
colistin	-0.766393442622951	0.00598	0.0745506666666667	1	4	0.0232558139534884	TRUE	-0.630655737704918	0.04529	0.279644386792453	0.5	4	0.116279069767442	FALSE	-0.526229508196721	0.14803	0.556886	0.5	4	0.302325581395349	FALSE	-0.72655737704918	0.01101	0.129838648648649	0.5	4	0.062015503875969	FALSE	0.244918032786885	0.91939	0.991090765432099	0.25	4	0.978142076502732	FALSE	-0.356065573770492	0.58263	0.891537194412107	0.25	4	0.821705426356589	FALSE
tiaprofenic acid	-0.411311475409836	0.40161	0.728126717451524	0.25	4	0.43030303030303	FALSE	-0.511639344262295	0.1681	0.480443013100437	0.5	4	0.193939393939394	FALSE	-0.528524590163934	0.14496	0.556886	0.5	4	0.181818181818182	FALSE	-0.488524590163934	0.20678	0.594890153846154	0.5	4	0.254545454545455	FALSE	0.378032786885246	0.507	0.888227679045093	0.25	4	0.486486486486487	FALSE	-0.608524590163934	0.06026	0.472337365269461	0.25	4	0.096969696969697	FALSE
sisomicin	-0.258688524590164	0.88486	0.959636901408451	0.25	4	0.87012987012987	FALSE	-0.302295081967213	0.76214	0.908986751592357	0.25	4	0.746753246753247	FALSE	-0.306065573770492	0.74976	0.928094197983501	0.25	4	0.733766233766234	FALSE	-0.235573770491803	0.94175	0.979171509134234	0.5	4	0.941558441558442	FALSE	0.331311475409836	0.6666	0.938257419354839	0.25	4	0.575949367088608	FALSE	0.380983606557377	0.49728	0.862506662269129	0.25	4	0.430379746835443	FALSE
lovastatin	-0.592786885245902	0.07315	0.346932427536232	0.25	4	0.0923076923076923	FALSE	-0.569016393442623	0.09573	0.384783293413174	0.5	4	0.107692307692308	FALSE	-0.43655737704918	0.32837	0.755424130052724	0.25	4	0.384615384615385	FALSE	-0.574590163934426	0.09004	0.421628434163701	0.75	4	0.1	TRUE	0.545573770491803	0.1226	0.616415509433962	0.25	4	0.274725274725275	FALSE	-0.278852459016393	0.83174	0.968194991119005	0.25	4	0.9	FALSE
ethionamide	-0.286120218579235	0.91799	0.972387896440129	0.333333333333333	3	0.925	FALSE	-0.405846994535519	0.57801	0.809354	0.333333333333333	3	0.64375	FALSE	-0.538852459016393	0.24769	0.685467674418605	0	3	0.3125	FALSE	-0.425355191256831	0.52329	0.832072839805825	0.333333333333333	3	0.5875	FALSE	0.477978142076503	0.38545	0.840923416666667	0.666666666666667	3	0.421052631578947	TRUE	0.466010928961749	0.41631	0.837096451612903	0.666666666666667	3	0.467105263157895	TRUE
R-atenolol	0.309672131147541	0.73808	0.904631760299625	0.75	4	0.601626016260163	TRUE	-0.271311475409836	0.85252	0.935413813914501	0.5	4	0.761904761904762	FALSE	0.481967213114754	0.21973	0.660414518348624	0.75	4	0.0975609756097561	TRUE	-0.236229508196721	0.94034	0.979171509134234	0.5	4	0.899470899470899	FALSE	-0.396885245901639	0.4471	0.87131275	0.5	4	0.35978835978836	FALSE	-0.426229508196721	0.35701	0.802965790378007	0.5	4	0.222222222222222	FALSE
pregnenolone	-0.585245901639344	0.07993	0.365833461538462	0.5	4	0.089171974522293	FALSE	-0.436393442622951	0.32895	0.66759	0.5	4	0.343949044585987	FALSE	-0.407704918032787	0.41301	0.819489365558912	0.5	4	0.414012738853503	FALSE	-0.551803278688525	0.11499	0.471827874251497	0.5	4	0.140127388535032	FALSE	0.471803278688525	0.24145	0.73605159453303	0.5	4	0.348387096774194	FALSE	-0.489836065573771	0.20407	0.721966567567568	0.5	4	0.21656050955414	FALSE
vancomycin	-0.542295081967213	0.12673	0.455383008130081	0.75	4	0.319444444444444	TRUE	-0.540491803278689	0.12895	0.430980831234257	0.75	4	0.326388888888889	TRUE	-0.38983606557377	0.46888	0.846217325102881	0.5	4	0.666666666666667	FALSE	-0.549508196721311	0.11779	0.471827874251497	0.75	4	0.305555555555556	TRUE	0.382950819672131	0.49073	0.887780586630287	0	4	0.672619047619048	FALSE	-0.72655737704918	0.01101	0.170632	0.75	4	0.0486111111111111	TRUE
