	E12_1_week_IP_vs_naive_adult_3_IP.enrichment	E12_1_week_IP_vs_naive_adult_3_IP.p	E12_1_week_IP_vs_naive_adult_3_IP.FDR	E12_1_week_IP_vs_naive_adult_3_IP.nonNull	E12_1_week_IP_vs_naive_adult_3_IP.instanceCount	E12_1_week_IP_vs_naive_adult_3_IP.specificity	E12_1_week_IP_vs_naive_adult_3_IP.reliable	E12_2_week_IP_vs_naive_adult_3_IP.enrichment	E12_2_week_IP_vs_naive_adult_3_IP.p	E12_2_week_IP_vs_naive_adult_3_IP.FDR	E12_2_week_IP_vs_naive_adult_3_IP.nonNull	E12_2_week_IP_vs_naive_adult_3_IP.instanceCount	E12_2_week_IP_vs_naive_adult_3_IP.specificity	E12_2_week_IP_vs_naive_adult_3_IP.reliable	E12_3_day_IP_vs_naive_adult_3_IP.enrichment	E12_3_day_IP_vs_naive_adult_3_IP.p	E12_3_day_IP_vs_naive_adult_3_IP.FDR	E12_3_day_IP_vs_naive_adult_3_IP.nonNull	E12_3_day_IP_vs_naive_adult_3_IP.instanceCount	E12_3_day_IP_vs_naive_adult_3_IP.specificity	E12_3_day_IP_vs_naive_adult_3_IP.reliable	naive_1_week_IP_vs_naive_adult_3_IP.enrichment	naive_1_week_IP_vs_naive_adult_3_IP.p	naive_1_week_IP_vs_naive_adult_3_IP.FDR	naive_1_week_IP_vs_naive_adult_3_IP.nonNull	naive_1_week_IP_vs_naive_adult_3_IP.instanceCount	naive_1_week_IP_vs_naive_adult_3_IP.specificity	naive_1_week_IP_vs_naive_adult_3_IP.reliable	naive_2_weeks_IP_vs_naive_adult_3_IP.enrichment	naive_2_weeks_IP_vs_naive_adult_3_IP.p	naive_2_weeks_IP_vs_naive_adult_3_IP.FDR	naive_2_weeks_IP_vs_naive_adult_3_IP.nonNull	naive_2_weeks_IP_vs_naive_adult_3_IP.instanceCount	naive_2_weeks_IP_vs_naive_adult_3_IP.specificity	naive_2_weeks_IP_vs_naive_adult_3_IP.reliable	naive_3_days_IP_vs_naive_adult_3_IP.enrichment	naive_3_days_IP_vs_naive_adult_3_IP.p	naive_3_days_IP_vs_naive_adult_3_IP.FDR	naive_3_days_IP_vs_naive_adult_3_IP.nonNull	naive_3_days_IP_vs_naive_adult_3_IP.instanceCount	naive_3_days_IP_vs_naive_adult_3_IP.specificity	naive_3_days_IP_vs_naive_adult_3_IP.reliable
metformin	-0.225081967213115	0.61289	0.84272375	0.4	10	0.688741721854305	FALSE	-0.347049180327869	0.1399	0.447748410757946	0.3	10	0.172185430463576	FALSE	-0.174426229508197	0.87309	0.962081944444444	0.4	10	0.907284768211921	FALSE	-0.192622950819672	0.78718	0.936783535811423	0.4	10	0.794701986754967	FALSE	-0.459344262295082	0.01901	0.246377128712871	0.7	10	0.0264900662251656	TRUE	-0.28327868852459	0.33339	0.784816666666667	0.5	10	0.403973509933775	FALSE
phenformin	-0.264941451990632	0.61716	0.845929256544503	0.285714285714286	7	0.642857142857143	FALSE	0.26288056206089	0.6267	0.836238837920489	0.285714285714286	7	0.63953488372093	FALSE	0.452552693208431	0.0792	0.484452336448598	0.571428571428571	7	0.0348837209302326	TRUE	-0.240421545667447	0.73003	0.9222591626564	0.285714285714286	7	0.735714285714286	FALSE	-0.290655737704918	0.50513	0.888227679045093	0.142857142857143	7	0.535714285714286	FALSE	0.4396018735363	0.09492	0.547358061674009	0.142857142857143	7	0.0581395348837209	FALSE
phenyl biguanide	-0.625409836065574	1e-05	0.000251730769230769	0	1	0.796610169491525	FALSE	-0.582622950819672	1e-05	0.000256666666666667	0	1	0.88135593220339	FALSE	0.594754098360656	1e-05	0.0002618	0	1	0.77319587628866	FALSE	-0.795901639344262	1e-05	0.00023375	1	1	0.415254237288136	FALSE	-0.947704918032787	1e-05	0.000242407407407407	1	1	0.0932203389830508	FALSE	-0.507868852459016	1e-05	0.000246981132075472	0	1	0.974576271186441	FALSE
valproic acid	0.21735691688237	0.00712	0.0839646846846847	0.614035087719298	57	0.223684210526316	TRUE	0.262274949669255	0.00038	0.00829033333333333	0.56140350877193	57	0.0921052631578947	TRUE	0.194538395168249	0.0228	0.244632786885246	0.421052631578947	57	0.355263157894737	FALSE	0.274843255680184	0.00013	0.00283616666666667	0.631578947368421	57	0.0723684210526316	TRUE	-0.154659188955997	0.11497	0.605083935742972	0.421052631578947	57	0.55625	FALSE	-0.130140926085706	0.25959	0.764279325153374	0.245614035087719	57	0.6875	FALSE
estradiol	-0.286854231280461	0.00332	0.0483215957446808	0.432432432432432	37	0.137254901960784	FALSE	-0.267337173238813	0.00768	0.0966646153846154	0.432432432432432	37	0.215686274509804	FALSE	-0.327487815684537	0.00039	0.009282	0.459459459459459	37	0.0588235294117647	FALSE	-0.26514842711564	0.00843	0.107134660194175	0.432432432432432	37	0.215686274509804	FALSE	0.149087284005317	0.34607	0.809421542553191	0.324324324324324	37	0.779874213836478	FALSE	-0.13024368630926	0.51335	0.869868503225806	0.216216216216216	37	0.882352941176471	FALSE
alpha-estradiol	0.469303278688525	0.00089	0.01820328125	0.875	16	0.0232558139534884	TRUE	0.482745901639344	6e-04	0.012271875	0.9375	16	0.0232558139534884	TRUE	0.247418032786885	0.23698	0.681404127659574	0.5625	16	0.612403100775194	TRUE	0.404959016393443	0.00655	0.089470824742268	0.8125	16	0.0852713178294574	TRUE	-0.211680327868852	0.41247	0.851489039370079	0.3125	16	0.759562841530055	FALSE	0.311106557377049	0.06994	0.487789015544041	0.375	16	0.348837209302326	FALSE
dexamethasone	-0.344098360655738	0.23739	0.597968187022901	0.5	8	0.239130434782609	FALSE	-0.399918032786885	0.11592	0.413224266304348	0.375	8	0.115942028985507	FALSE	-0.232459016393443	0.69899	0.926475275827482	0.25	8	0.710144927536232	FALSE	-0.420983606557377	0.08512	0.411151586715867	0.625	8	0.0797101449275362	TRUE	-0.373606557377049	0.1648	0.668842438271605	0.375	8	0.144927536231884	FALSE	-0.45155737704918	0.05343	0.446310636942675	0.625	8	0.036231884057971	TRUE
mesalazine	0.314262295081967	0.606	0.837456223628692	0.4	5	0.472	FALSE	0.222622950819672	0.91664	0.962586995192308	0.4	5	0.856	FALSE	-0.227213114754098	0.90617	0.974180008156607	0.2	5	0.93048128342246	FALSE	-0.226065573770492	0.90867	0.969288916938111	0.4	5	0.935828877005348	FALSE	0.335737704918033	0.52252	0.891758383311604	0.2	5	0.328	FALSE	-0.430163934426229	0.23468	0.762273250620347	0.6	5	0.262032085561497	TRUE
chlorpropamide	-0.215792349726776	0.89146	0.962713924154988	0.333333333333333	6	0.901098901098901	FALSE	-0.345737704918033	0.37981	0.702348757062147	0.5	6	0.39010989010989	FALSE	0.26103825136612	0.723	0.928094197983501	0.333333333333333	6	0.738461538461539	FALSE	-0.381639344262295	0.27082	0.661826492537313	0.333333333333333	6	0.296703296703297	FALSE	-0.287213114754098	0.60855	0.917842643020595	0.5	6	0.675824175824176	FALSE	0.195355191256831	0.94207	0.983433	0.333333333333333	6	0.930769230769231	FALSE
tolbutamide	-0.272903981264637	0.58038	0.822828333333333	0.428571428571429	7	0.509090909090909	FALSE	-0.311639344262295	0.41928	0.726261558784676	0.285714285714286	7	0.363636363636364	FALSE	-0.426651053864169	0.11243	0.52561025	0.428571428571429	7	0.109090909090909	FALSE	0.22655737704918	0.7909	0.937244	0.428571428571429	7	0.768707482993197	FALSE	0.27344262295082	0.57798	0.911931409638554	0.428571428571429	7	0.564625850340136	FALSE	0.287096018735363	0.52074	0.875030372272144	0.428571428571429	7	0.510204081632653	FALSE
tamoxifen	-0.290585480093677	0.5054	0.789131116389549	0.428571428571429	7	0.484126984126984	FALSE	-0.183700234192037	0.93922	0.975745222222222	0.571428571428571	7	0.952380952380952	TRUE	0.400819672131148	0.1557	0.5642725	0.142857142857143	7	0.17741935483871	FALSE	-0.249110070257611	0.69115	0.909432683417085	0.285714285714286	7	0.698412698412698	FALSE	0.451405152224824	0.08057	0.558021851851852	0.142857142857143	7	0.0967741935483871	FALSE	0.232903981264637	0.76345	0.953153571428571	0.285714285714286	7	0.78494623655914	FALSE
verapamil	-0.257431693989071	0.73799	0.904631760299625	0.5	6	0.75	FALSE	-0.231693989071038	0.83955	0.930575969517358	0.5	6	0.84375	FALSE	0.291967213114754	0.58729	0.885796697247706	0.333333333333333	6	0.532894736842105	FALSE	-0.367704918032787	0.30989	0.6889675	0.5	6	0.24375	FALSE	0.345081967213115	0.3819	0.838438578595318	0.166666666666667	6	0.289473684210526	FALSE	-0.414699453551913	0.19015	0.699900303030303	0.666666666666667	6	0.15	TRUE
dexverapamil	0.994590163934426	1e-05	0.000251730769230769	1	1	0.0275229357798165	FALSE	0.978524590163934	1e-05	0.000256666666666667	1	1	0.0642201834862385	FALSE	0.954426229508197	1e-05	0.0002618	1	1	0.137614678899083	FALSE	0.656885245901639	1e-05	0.00023375	1	1	0.706422018348624	FALSE	-0.665245901639344	1e-05	0.000242407407407407	0	1	0.724137931034483	FALSE	-0.567213114754098	1e-05	0.000246981132075472	0	1	0.931034482758621	FALSE
exemestane	0.873114754098361	1e-05	0.000251730769230769	1	1	0.246376811594203	FALSE	0.841803278688525	1e-05	0.000256666666666667	1	1	0.333333333333333	FALSE	-0.588196721311475	1e-05	0.0002618	0	1	0.793103448275862	FALSE	0.721311475409836	1e-05	0.00023375	1	1	0.557971014492754	FALSE	-0.623770491803279	1e-05	0.000242407407407407	0	1	0.718390804597701	FALSE	0.805901639344262	1e-05	0.000246981132075472	1	1	0.427536231884058	FALSE
rofecoxib	0.235737704918033	0.8247	0.93466	0.666666666666667	6	0.817518248175182	TRUE	-0.236939890710383	0.82015	0.927242245250432	0.666666666666667	6	0.84	TRUE	0.20431693989071	0.92227	0.976099183508488	0.333333333333333	6	0.89051094890511	FALSE	0.338360655737705	0.4051	0.756311111111111	0.333333333333333	6	0.357664233576642	FALSE	0.21448087431694	0.89532	0.985252957746479	0.166666666666667	6	0.875912408759124	FALSE	-0.213387978142076	0.89814	0.97634794892916	0.333333333333333	6	0.902857142857143	FALSE
amitriptyline	-0.44655737704918	0.13065	0.458500938337802	0.666666666666667	6	0.245283018867925	TRUE	-0.349398907103825	0.3673	0.6987068	0.333333333333333	6	0.509433962264151	FALSE	-0.452622950819672	0.12072	0.538449639344262	0.333333333333333	6	0.216981132075472	FALSE	-0.470437158469945	0.09642	0.433724329896907	0.666666666666667	6	0.188679245283019	TRUE	-0.260273224043716	0.72629	0.942544610069102	0.5	6	0.811320754716981	FALSE	0.230928961748634	0.8424	0.969590196917808	0.166666666666667	6	0.956310679611651	FALSE
sulindac	-0.425175644028103	0.11457	0.448225044776119	0.285714285714286	7	0.170542635658915	FALSE	-0.347564402810304	0.2929	0.633279967051071	0.428571428571429	7	0.387596899224806	FALSE	0.261475409836066	0.6331	0.900065	0.285714285714286	7	0.688524590163934	FALSE	-0.411826697892272	0.13638	0.507163125	0.428571428571429	7	0.201550387596899	FALSE	0.363114754098361	0.24643	0.73605159453303	0.428571428571429	7	0.33879781420765	FALSE	0.443957845433255	0.08972	0.530409147982063	0.714285714285714	7	0.153005464480874	TRUE
tacrolimus	-0.556065573770492	0.2144	0.576470698151951	0.666666666666667	3	0.348387096774194	TRUE	-0.625245901639344	0.11073	0.40715047752809	0.666666666666667	3	0.187096774193548	TRUE	-0.486338797814208	0.36532	0.777274440842788	0.666666666666667	3	0.483870967741935	TRUE	-0.669672131147541	0.07173	0.382696260162602	0.333333333333333	3	0.161290322580645	FALSE	0.302404371584699	0.87977	0.976776022052587	0.333333333333333	3	0.968152866242038	FALSE	0.271857923497268	0.9434	0.983433	0.333333333333333	3	1	FALSE
15-delta prostaglandin J2	-0.439562841530055	0.00344	0.0483215957446808	0.4	15	0.180451127819549	FALSE	-0.250928961748634	0.25675	0.596876538461538	0.333333333333333	15	0.654135338345865	FALSE	-0.245573770491803	0.27909	0.720724556213018	0.333333333333333	15	0.699248120300752	FALSE	-0.361967213114754	0.02874	0.224322083333333	0.266666666666667	15	0.285714285714286	FALSE	0.571256830601093	3e-05	0.000677068965517241	0.333333333333333	15	0.128491620111732	FALSE	0.283551912568306	0.14836	0.661712857142857	0.4	15	0.687150837988827	FALSE
raloxifene	-0.314449648711944	0.40877	0.73601090784044	0.428571428571429	7	0.503267973856209	FALSE	-0.245737704918033	0.70642	0.877911774193548	0.428571428571429	7	0.797385620915033	FALSE	-0.240983606557377	0.72724	0.928094197983501	0.285714285714286	7	0.797385620915033	FALSE	-0.218126463700234	0.82624	0.947381592300962	0.428571428571429	7	0.92156862745098	FALSE	0.20847775175644	0.86415	0.969299357326478	0.285714285714286	7	0.924528301886792	FALSE	-0.214777517564403	0.83943	0.969590196917808	0.285714285714286	7	0.92156862745098	FALSE
nordihydroguaiaretic acid	0.169672131147541	0.72013	0.896055294676806	0.6	15	0.854838709677419	TRUE	0.226010928961749	0.37161	0.6987068	0.666666666666667	15	0.564516129032258	TRUE	-0.214808743169399	0.43387	0.829103401459854	0.333333333333333	15	0.492063492063492	FALSE	0.352349726775956	0.03585	0.25323579787234	0.733333333333333	15	0.0913978494623656	TRUE	0.329836065573771	0.05967	0.487582173913043	0.533333333333333	15	0.150537634408602	TRUE	0.22224043715847	0.39204	0.822488333333333	0.466666666666667	15	0.586021505376344	FALSE
sulfasalazine	0.361967213114754	0.42553	0.745343551401869	0.6	5	0.325581395348837	TRUE	-0.241147540983607	0.86953	0.943380140845071	0.6	5	0.879781420765027	TRUE	0.483606557377049	0.13392	0.551261886792453	0.8	5	0.0310077519379845	TRUE	0.180819672131148	0.98603	0.996689783783784	0.4	5	0.984496124031008	FALSE	0.261475409836066	0.80671	0.952836534653465	0.4	5	0.751937984496124	FALSE	-0.258360655737705	0.81673	0.96489130866426	0.2	5	0.830601092896175	FALSE
celecoxib	-0.455737704918033	0.18098	0.5288009375	0.2	5	0.242424242424242	FALSE	-0.486065573770492	0.13023	0.430980831234257	0.2	5	0.166666666666667	FALSE	-0.515737704918033	0.09155	0.50141820083682	0.6	5	0.128787878787879	TRUE	-0.611967213114754	0.02475	0.210375	0.4	5	0.0227272727272727	FALSE	0.476065573770492	0.14554	0.649755973154362	0.2	5	0.183333333333333	FALSE	-0.221639344262295	0.91869	0.978361003236246	0.4	5	0.893939393939394	FALSE
LM-1685	0.33551912568306	0.77107	0.91840821656051	0.666666666666667	3	0.768817204301075	TRUE	0.535737704918033	0.25377	0.595759211469534	1	3	0.252688172043011	TRUE	0.455901639344262	0.44214	0.837570564399421	0.666666666666667	3	0.413978494623656	TRUE	0.566229508196721	0.19606	0.579328532731377	1	3	0.166666666666667	TRUE	0.534535519125683	0.25626	0.746158150537634	0.666666666666667	3	0.252688172043011	TRUE	0.499125683060109	0.33465	0.784816666666667	0.666666666666667	3	0.32258064516129	TRUE
SC-58125	0.475409836065574	0.2329	0.597968187022901	0.75	4	0.184971098265896	TRUE	-0.298196721311475	0.77463	0.909227177419355	0.75	4	0.76978417266187	TRUE	0.330327868852459	0.66974	0.917999643979058	0.25	4	0.606936416184971	FALSE	-0.252786885245902	0.89894	0.966896023007395	0.5	4	0.913669064748201	FALSE	0.238032786885246	0.93662	0.998604378834356	0.25	4	0.942196531791908	FALSE	0.228196721311475	0.95614	0.987609038613081	0.5	4	0.959537572254335	FALSE
tanespimycin	0.222596509783184	0.00293	0.0456591666666667	0.629032258064516	62	0.595854922279793	TRUE	0.357292437863564	0	0	0.758064516129032	62	0.212435233160622	TRUE	0.255991538868324	0.00038	0.00921148148148148	0.612903225806452	62	0.50259067357513	TRUE	0.273405605499736	9e-05	0.00199677966101695	0.67741935483871	62	0.450777202072539	TRUE	0.5181385510312	0	0	0.709677419354839	62	0.0621761658031088	TRUE	0.610375462718139	0	0	0.887096774193548	62	0.0155440414507772	TRUE
tomelukast	-0.821147540983607	1e-05	0.000251730769230769	1	1	0.375	FALSE	-0.678196721311475	1e-05	0.000256666666666667	0	1	0.671875	FALSE	-0.892622950819672	1e-05	0.0002618	1	1	0.1953125	FALSE	0.580819672131148	1e-05	0.00023375	1	1	0.809782608695652	FALSE	0.612131147540984	1e-05	0.000242407407407407	0	1	0.717391304347826	FALSE	0.763770491803279	1e-05	0.000246981132075472	1	1	0.380434782608696	FALSE
TTNPB	-0.446393442622951	0.69271	0.884224406614786	0.5	2	0.735099337748344	FALSE	-0.376393442622951	0.87358	0.94435	0.5	2	0.927152317880795	FALSE	-0.458196721311475	0.65489	0.905449260823654	0.5	2	0.675496688741722	FALSE	0.38016393442623	0.86574	0.956341946082561	0.5	2	0.900621118012422	FALSE	0.905245901639344	0.0178	0.245265263157895	1	2	0	TRUE	0.866885245901639	0.03513	0.37692762295082	1	2	0.0186335403726708	TRUE
tretinoin	0.368286140089419	0.00315	0.0479459302325581	0.727272727272727	22	0.153409090909091	TRUE	0.346959761549926	0.00682	0.0866735922330097	0.636363636363636	22	0.159090909090909	TRUE	0.353994038748137	0.00542	0.0933523684210526	0.727272727272727	22	0.159090909090909	TRUE	0.327973174366617	0.01238	0.143410796460177	0.727272727272727	22	0.232954545454545	TRUE	-0.162682563338301	0.54817	0.903685106382979	0.363636363636364	22	0.838235294117647	FALSE	0.211222056631893	0.24054	0.764279325153374	0.454545454545455	22	0.676136363636364	FALSE
LY-294002	0.343114754098361	0	0	0.721311475409836	61	0.246666666666667	TRUE	0.283770491803279	6e-05	0.00151038461538462	0.704918032786885	61	0.38	TRUE	0.178032786885246	0.03557	0.32111124137931	0.508196721311475	61	0.706666666666667	TRUE	0.178524590163935	0.03452	0.248278461538462	0.491803278688525	61	0.7	FALSE	-0.239508196721311	0.00126	0.02499	0.180327868852459	61	0.493827160493827	FALSE	0.194262295081967	0.01647	0.209694174757282	0.426229508196721	61	0.653333333333333	FALSE
ciclosporin	-0.551366120218579	0.03069	0.2156	0.333333333333333	6	0.0533333333333333	FALSE	-0.544644808743169	0.03392	0.238716559139785	0.666666666666667	6	0.0533333333333333	TRUE	-0.405355191256831	0.2115	0.64414976744186	0.166666666666667	6	0.326666666666667	FALSE	-0.390437158469945	0.24786	0.639938343195266	0.5	6	0.353333333333333	FALSE	0.452786885245902	0.12044	0.616415509433962	0.5	6	0.209876543209877	FALSE	-0.388251366120219	0.25357	0.764279325153374	0.166666666666667	6	0.366666666666667	FALSE
indometacin	0.214344262295082	0.78709	0.919789893711249	0.625	8	0.8046875	TRUE	-0.256639344262295	0.58267	0.812593329798515	0.375	8	0.597826086956522	FALSE	-0.182622950819672	0.91065	0.974180008156607	0.5	8	0.951086956521739	FALSE	-0.422049180327869	0.08382	0.409795149253731	0.25	8	0.0760869565217391	FALSE	-0.216393442622951	0.77785	0.950192680695334	0.5	8	0.820652173913043	FALSE	-0.295901639344262	0.4067	0.833530923076923	0.375	8	0.429347826086957	FALSE
clofibrate	0.442786885245902	0.70423	0.887315898174832	0.5	2	0.733333333333333	FALSE	-0.549180327868853	0.4066	0.716079301075269	0	2	0.244897959183673	FALSE	0.561967213114754	0.38359	0.789598679245283	0.5	2	0.345454545454545	FALSE	-0.604262295081967	0.31169	0.6889675	0.5	2	0.183673469387755	FALSE	-0.452950819672131	0.672	0.93892739039666	0.5	2	0.469387755102041	FALSE	-0.382786885245902	0.86002	0.969590196917808	0.5	2	0.761904761904762	FALSE
MK-886	-0.412131147540984	0.79175	0.919789893711249	0.5	2	0.74	FALSE	-0.541967213114754	0.41993	0.726261558784676	0.5	2	0.38	FALSE	-0.399180327868852	0.8238	0.94369394575678	0	2	0.766666666666667	FALSE	-0.294098360655738	0.98505	0.996689783783784	0.5	2	0.98	FALSE	-0.778032786885246	0.09884	0.571633644067797	1	2	0.0466666666666667	TRUE	-0.437540983606557	0.72064	0.947106184738956	0	2	0.66	FALSE
prednisolone	-0.265737704918033	0.79152	0.919789893711249	0.6	5	0.751552795031056	TRUE	0.235737704918033	0.88464	0.950733793103448	0.6	5	0.860927152317881	TRUE	0.340327868852459	0.50487	0.853037275064267	0.6	5	0.397350993377483	TRUE	-0.330491803278688	0.54337	0.837775418138987	0.2	5	0.490683229813665	FALSE	-0.293114754098361	0.69007	0.939960072840791	0.4	5	0.664596273291925	FALSE	0.265573770491803	0.79198	0.956836774193549	0.2	5	0.735099337748344	FALSE
thalidomide	0.384941451990632	0.18966	0.547069735682819	0.714285714285714	7	0.158730158730159	TRUE	0.302388758782201	0.45669	0.747995325	0.571428571428571	7	0.428571428571429	TRUE	0.437002341920375	0.0985	0.504748378378378	0.714285714285714	7	0.0634920634920635	TRUE	0.338384074941452	0.32281	0.6889675	0.714285714285714	7	0.285714285714286	TRUE	0.292388758782201	0.49796	0.888051280653951	0.285714285714286	7	0.468253968253968	FALSE	0.214309133489461	0.84118	0.969590196917808	0.428571428571429	7	0.817460317460317	FALSE
genistein	-0.361620057859209	0.01701	0.157915531914894	0.352941176470588	17	0.264285714285714	FALSE	-0.401321118611379	0.00554	0.0763353684210526	0.529411764705882	17	0.171428571428571	TRUE	-0.588833172613308	1e-05	0.0002618	0.705882352941177	17	0	TRUE	-0.235612343297975	0.25788	0.647567055449331	0.411764705882353	17	0.635714285714286	FALSE	0.265371263259402	0.15031	0.650667730263158	0.411764705882353	17	0.598837209302326	FALSE	-0.239161041465767	0.24243	0.764279325153374	0.294117647058824	17	0.635714285714286	FALSE
fludrocortisone	-0.647622950819672	0.00103	0.0201234328358209	0.875	8	0.0422535211267606	TRUE	-0.625	0.0018	0.0310026315789474	0.75	8	0.0774647887323944	TRUE	-0.592786885245902	0.00334	0.064295	0.75	8	0.126760563380282	TRUE	-0.660901639344262	7e-04	0.0140969230769231	0.875	8	0.0352112676056338	TRUE	0.223852459016393	0.74108	0.943985164938737	0.375	8	0.923529411764706	FALSE	-0.407377049180328	0.10395	0.564608091286307	0.5	8	0.464788732394366	FALSE
quercetin	-0.431475409836066	0.15652	0.498502871046229	0.5	6	0.150793650793651	FALSE	-0.353606557377049	0.35348	0.690604955223881	0.5	6	0.277777777777778	FALSE	-0.27983606557377	0.64108	0.901493507462686	0.333333333333333	6	0.571428571428571	FALSE	-0.299125683060109	0.55608	0.84440336416185	0.333333333333333	6	0.515873015873016	FALSE	-0.316065573770492	0.48625	0.887780586630287	0.5	6	0.444444444444444	FALSE	-0.59224043715847	0.01529	0.204230714285714	0.666666666666667	6	0.0317460317460317	TRUE
sulindac sulfide	-0.702131147540984	1e-05	0.000251730769230769	0	1	0.633093525179856	FALSE	-0.724098360655738	1e-05	0.000256666666666667	0	1	0.60431654676259	FALSE	-0.962459016393443	1e-05	0.0002618	1	1	0.0719424460431655	FALSE	0.615901639344262	1e-05	0.00023375	1	1	0.716763005780347	FALSE	0.556885245901639	1e-05	0.000242407407407407	0	1	0.872832369942196	FALSE	0.778852459016393	1e-05	0.000246981132075472	1	1	0.398843930635838	FALSE
exisulind	-0.466885245901639	0.62497	0.850400966735967	0.5	2	0.528735632183908	FALSE	-0.640491803278688	0.2571	0.596876538461538	0.5	2	0.17816091954023	FALSE	-0.381967213114754	0.86201	0.958514694397284	0.5	2	0.827586206896552	FALSE	-0.431803278688525	0.73834	0.924817128060264	0.5	2	0.660919540229885	FALSE	0.695081967213115	0.18494	0.689705014245014	0.5	2	0.13768115942029	FALSE	-0.500327868852459	0.49922	0.862506662269129	0	2	0.385057471264368	FALSE
fulvestrant	0.144754098360656	0.33692	0.672937743902439	0.575	40	0.653179190751445	TRUE	0.16655737704918	0.19217	0.511943793103448	0.65	40	0.53757225433526	TRUE	0.262131147540984	0.00651	0.106519875	0.525	40	0.161849710982659	TRUE	0.248688524590164	0.01144	0.133705	0.575	40	0.202312138728324	TRUE	-0.163688524590164	0.20785	0.70669	0.375	40	0.474820143884892	FALSE	0.182704918032787	0.12189	0.620832723735409	0.4	40	0.439306358381503	FALSE
monastrol	-0.192377049180328	0.87793	0.957675308333333	0.375	8	0.907284768211921	FALSE	-0.409508196721311	0.10093	0.390074277286136	0.5	8	0.178807947019868	FALSE	-0.314590163934426	0.3338	0.759548894472362	0.375	8	0.450331125827815	FALSE	0.215737704918033	0.78089	0.93522241537054	0.5	8	0.863354037267081	FALSE	-0.149672131147541	0.98128	0.998604378834356	0.375	8	0.986754966887417	FALSE	-0.371803278688525	0.16888	0.673060447761194	0.625	8	0.298013245033113	TRUE
staurosporine	0.295409836065574	0.7826	0.919789893711249	0.75	4	0.801204819277108	TRUE	0.264098360655738	0.87106	0.94388869205298	0.75	4	0.909638554216867	TRUE	-0.704262295081967	0.01538	0.188642803738318	0.25	4	0.0136986301369863	FALSE	0.297540983606557	0.77655	0.935015454545454	0.5	4	0.783132530120482	FALSE	-0.495573770491803	0.1938	0.698935243243243	0.25	4	0.178082191780822	FALSE	-0.304590163934426	0.75448	0.951822814601345	0.25	4	0.808219178082192	FALSE
NU-1025	-0.564426229508197	0.37918	0.706524836415363	0.5	2	0.360215053763441	FALSE	-0.607868852459016	0.3059	0.648451954765751	0.5	2	0.28494623655914	FALSE	-0.370327868852459	0.88538	0.967394633333333	0.5	2	0.919354838709677	FALSE	-0.497704918032787	0.50894	0.829641917808219	0.5	2	0.553763440860215	FALSE	-0.691967213114754	0.18902	0.696977971830986	1	2	0.150537634408602	TRUE	0.479672131147541	0.57936	0.891537194412107	0	2	0.53968253968254	FALSE
acetylsalicylic acid	0.325586380832282	0.09945	0.411657931034483	0.769230769230769	13	0.184	TRUE	0.346040353089533	0.06721	0.333182172284644	0.769230769230769	13	0.144	TRUE	-0.238663303909205	0.38793	0.791210981308411	0.384615384615385	13	0.636363636363636	FALSE	0.192131147540984	0.65613	0.892265680412371	0.461538461538462	13	0.784	FALSE	-0.233871374527112	0.41209	0.851489039370079	0.538461538461538	13	0.657754010695187	TRUE	0.254161412358134	0.31458	0.782256435272045	0.461538461538462	13	0.48	FALSE
flufenamic acid	0.497431693989071	0.06789	0.331597052238806	0.833333333333333	6	0.072992700729927	TRUE	0.56448087431694	0.02456	0.189112	0.833333333333333	6	0.0364963503649635	TRUE	0.242131147540984	0.80045	0.938007388193202	0.5	6	0.824817518248175	FALSE	0.215573770491803	0.8921	0.966806930041152	0.333333333333333	6	0.897810218978102	FALSE	-0.295300546448087	0.57295	0.909080666666667	0.333333333333333	6	0.782857142857143	FALSE	0.294098360655738	0.57804	0.891537194412107	0.166666666666667	6	0.656934306569343	FALSE
N-phenylanthranilic acid	0.536229508196721	1e-05	0.000251730769230769	1	1	0.900662251655629	FALSE	-0.652786885245902	1e-05	0.000256666666666667	0	1	0.546583850931677	FALSE	-0.648360655737705	1e-05	0.0002618	0	1	0.552795031055901	FALSE	-0.534426229508197	1e-05	0.00023375	0	1	0.906832298136646	FALSE	-0.841475409836066	1e-05	0.000242407407407407	1	1	0.192546583850932	FALSE	-0.593934426229508	1e-05	0.000246981132075472	0	1	0.708074534161491	FALSE
monorden	-0.120983606557377	0.86507	0.950778026868178	0.454545454545455	22	0.952	FALSE	0.249239940387481	0.10621	0.40044867816092	0.727272727272727	22	0.449197860962567	TRUE	0.337153502235469	0.00915	0.133081666666667	0.590909090909091	22	0.155080213903743	TRUE	0.174053651266766	0.46281	0.790905299479167	0.454545454545455	22	0.74331550802139	FALSE	0.47301043219076	4e-05	0.000887457627118644	0.545454545454545	22	0.0588235294117647	TRUE	0.46806259314456	4e-05	0.00096962962962963	0.727272727272727	22	0.0641711229946524	TRUE
sirolimus	0.352399403874814	4e-05	0.000952	0.772727272727273	44	0.198795180722892	TRUE	0.323964232488823	9e-05	0.00218166666666667	0.75	44	0.265060240963855	TRUE	0.301833084947839	0.00042	0.0098175	0.613636363636364	44	0.319277108433735	TRUE	0.25849478390462	0.00445	0.0645963043478261	0.659090909090909	44	0.427710843373494	TRUE	-0.417466467958271	0	0	0.5	44	0.184931506849315	FALSE	-0.117898658718331	0.53206	0.879376944444444	0.318181818181818	44	0.945205479452055	FALSE
