	kUp	kDown	score	instance	ConScore
inst_973	0.0456969483763919	-0.243068292598307	0.288765240974699	inst_973	1
inst_2805	0.0608045318202367	-0.225002150475348	0.285806682295585	inst_2805	0.989754450123127
inst_2797	0.0468955627834383	-0.234797316227234	0.281692879010672	inst_2797	0.975508264290554
inst_5362	0.0511218863388498	-0.225472722070928	0.276594608409778	inst_5362	0.957852847787914
inst_5358	0.0433650476015213	-0.228206550637029	0.271571598238551	inst_5358	0.94045805970929
inst_1045	0.0350224551957778	-0.236107762942241	0.271130218138019	inst_1045	0.938929551295182
inst_2954	0.0460556652722589	-0.223826233199747	0.269881898472006	inst_2954	0.934606594481545
inst_6925	0.0317053931323334	-0.237567783469111	0.269273176601444	inst_6925	0.932498578057867
inst_3245	0.0521086138137027	-0.21692521580615	0.269033829619853	inst_3245	0.931669714511883
inst_4957	0.0339063968770246	-0.232773387589959	0.266679784466983	inst_4957	0.923517607475303
inst_6971	0.0410019134579676	-0.224192517614837	0.265194431072804	inst_6971	0.918373797960123
inst_7450	0.0313005339791643	-0.233876795084031	0.265177329063196	inst_7450	0.918314573347247
inst_952	0.0415150804161357	-0.222939433966232	0.264454514382368	inst_952	0.915811451162639
inst_4820	0.0274316623230096	-0.236793919371681	0.264225581694691	inst_4820	0.915018652531806
inst_6246	0.0461010244364215	-0.217794156243791	0.263895180680212	inst_6246	0.9138744669873
inst_3101	0.0358880140667623	-0.227561228932825	0.263449242999588	inst_3101	0.912330175579099
inst_6967	0.029300514100646	-0.233705524626179	0.263006038726825	inst_6967	0.91079535001884
inst_5322	0.0249597987089204	-0.237947832973283	0.262907631682204	inst_5322	0.910454564388653
inst_1837	0.0337488144421652	-0.228575854160877	0.262324668603042	inst_1837	0.908435751192182
inst_5328	0.0253834822164066	-0.236837824377011	0.262221306593417	inst_5328	0.908077806415741
inst_5354	0.0381706100928055	-0.223495512862401	0.261666122955207	inst_5354	0.906155193997651
inst_5326	0.0298718709028792	-0.231680623733541	0.261552494636421	inst_5326	0.905761696780318
inst_2945	0.036317088869325	-0.224715437486001	0.261032526355326	inst_2945	0.903961035872035
