	kUp	kDown	score	instance	ConScore
inst_1677	0.0718993909333085	-0.1419992726144	0.213898663547708	inst_1677	1
inst_6908	0.0763487272146745	-0.135350893431465	0.211699620646139	inst_6908	0.989719230288327
inst_1681	0.0658974418824426	-0.144310171057159	0.210207612939601	inst_1681	0.982743928611393
inst_7246	0.0573949733321393	-0.152310384224147	0.209705357556286	inst_7246	0.980395828931925
inst_6925	0.068830916593638	-0.140740932923454	0.209571849517092	inst_6925	0.979771664026079
inst_1643	0.0750433741065429	-0.132915086613113	0.207958460719656	inst_1643	0.972228892272966
inst_3244	0.0783952908170223	-0.12904180503822	0.207437095855243	inst_3244	0.96979145364775
inst_3250	0.0594854778588905	-0.147939899998504	0.207425377857395	inst_3250	0.969736670706829
inst_4784	0.0717903077556802	-0.135551952908794	0.207342260664475	inst_4784	0.969348088601913
inst_4774	0.0691983951463537	-0.137256494113599	0.206454889259953	inst_4774	0.965199528766131
inst_6927	0.0684380231988017	-0.137161036440336	0.205599059639137	inst_6927	0.961198430271073
inst_1413	0.0668215054776008	-0.136539252644019	0.203360758121619	inst_1413	0.950734122171182
inst_4349	0.0859453381588539	-0.117083884949663	0.203029223108517	inst_4349	0.949184159176538
inst_4354	0.0661812186590687	-0.135285260437703	0.201466479096772	inst_4354	0.941878157419325
inst_4390	0.071090262617583	-0.129523627877754	0.200613890495337	inst_4390	0.937892211049707
inst_2108	0.0687990142786602	-0.131329376654849	0.200128390933509	inst_2108	0.935622446695991
inst_4826	0.0519457970973977	-0.147922089335667	0.199867886433065	inst_4826	0.934404559234125
inst_6965	0.06471869481677	-0.134178381501593	0.198897076318363	inst_6965	0.929865914164541
inst_4825	0.0567976911017221	-0.141659046881778	0.1984567379835	inst_4825	0.927807283560873
inst_4524	0.0435627783050615	-0.154539615401876	0.198102393706937	inst_4524	0.926150684727174
inst_1678	0.0685542961015038	-0.129166526425227	0.197720822526731	inst_1678	0.924366797096097
inst_1837	0.0798926597454918	-0.117506993373124	0.197399653118616	inst_1837	0.922865294455606
inst_4999	0.0657286003852489	-0.130539162889497	0.196267763274746	inst_4999	0.91757358376842
inst_6909	0.0679156813120586	-0.128197224341426	0.196112905653485	inst_6909	0.91684960719609
inst_6971	0.0801067463497765	-0.115464563793026	0.195571310142803	inst_6971	0.914317588053477
inst_2806	0.0612656872276975	-0.133622277446185	0.194887964673882	inst_2806	0.911122872118433
inst_6981	0.0701285114868064	-0.124624433424584	0.19475294491139	inst_6981	0.91049163973833
inst_3333	0.0674032712780916	-0.127090345405316	0.194493616683408	inst_3333	0.909279251480822
inst_1646	0.0581078596536238	-0.136078839997607	0.19418669965123	inst_1646	0.907844380280192
inst_4993	0.0678823744926479	-0.126214163637452	0.194096538130099	inst_4993	0.9074228651588
inst_2758	0.0843265799186765	-0.109441147212374	0.193767727131051	inst_2758	0.90588563723229
inst_2837	0.0587077168088348	-0.134219892967733	0.192927609776568	inst_2837	0.901957995326779
inst_1653	0.0738488096457084	-0.117697534742479	0.191546344388188	inst_1653	0.895500426282304
inst_3546	0.0726420059319579	-0.118661507651573	0.191303513583531	inst_3546	0.894365165310453
inst_991	0.0609403103673896	-0.130089782569672	0.191030092937062	inst_991	0.893086893431917
inst_1007	0.0627750947655925	-0.128029589073883	0.190804683839475	inst_1007	0.892033080874852
inst_1686	0.0593663625067408	-0.131352095768074	0.190718458274815	inst_1686	0.891629966786946
inst_4841	0.0729122058323987	-0.117228614115394	0.190140819947793	inst_4841	0.888929443476321
inst_2678	0.0562924039116652	-0.133689266107197	0.189981670018862	inst_2678	0.888185399889085
inst_4360	0.0570892260933114	-0.132771152148873	0.189860378242184	inst_4360	0.887618347366802
inst_1835	0.0847836792304493	-0.104973756151925	0.189757435382374	inst_1835	0.887137078068046
inst_6931	0.080830601182071	-0.108823710900687	0.189654312082758	inst_6931	0.886654965193165
inst_4957	0.0679120362886492	-0.120551728522491	0.18846376481114	inst_4957	0.881089024518871
inst_4607	0.0502953037451512	-0.138036844231028	0.188332147976179	inst_4607	0.880473701202783
inst_7306	0.0439175494367168	-0.144398756899879	0.188316306336596	inst_7306	0.880399639778925
inst_7202	0.0725492751987993	-0.115370461787012	0.187919736985812	inst_7202	0.87854563403524
inst_4604	0.0478842043612805	-0.139609932459723	0.187494136821003	inst_4604	0.876555906012869
inst_2802	0.0704119538576152	-0.11679685746982	0.187208811327435	inst_2802	0.875221977652423
inst_3892	0.0493980594965467	-0.137522064653174	0.18692012414972	inst_3892	0.87387233304536
inst_1836	0.0767086147553356	-0.109544131176233	0.186252745931569	inst_1836	0.870752265780411
inst_1054	0.0733590388855779	-0.11276874934554	0.186127788231118	inst_1054	0.870168074657483
inst_4769	0.0670904011953536	-0.118862567128902	0.185952968324256	inst_4769	0.869350772183675
inst_3271	0.0598580393800304	-0.125827658229742	0.185685697609772	inst_3271	0.868101251919961
inst_1794	0.03846673461347	-0.147107006088348	0.185573740701818	inst_1794	0.867577840945359
inst_1829	0.0384906446294125	-0.1465202359048	0.185010880534213	inst_1829	0.864946407170739
inst_1661	0.0562404706882266	-0.128524220631573	0.184764691319799	inst_1661	0.86379544526041
inst_987	0.0642441060807485	-0.120446921419917	0.184691027500665	inst_987	0.863451058727496
inst_1842	0.0784388304544448	-0.106173989139703	0.184612819594148	inst_1842	0.863085428081562
inst_3265	0.0537637943235683	-0.130821702643271	0.184585496966839	inst_3265	0.862957691765422
inst_1700	0.0618688884410824	-0.122424465960598	0.18429335440168	inst_1700	0.861591892838429
inst_4777	0.0604575955700057	-0.123834079417792	0.184291674987798	inst_4777	0.861584041392075
inst_1795	0.0529573078137999	-0.131181468683152	0.184138776496951	inst_1795	0.860869223971944
inst_7405	0.0691605738484083	-0.114967548130862	0.18412812197927	inst_7405	0.860819412918877
inst_2750	0.0586253526560149	-0.125047167870873	0.183672520526888	inst_2750	0.858689425546231
inst_2671	0.0728430841499468	-0.110409046881778	0.183252131031725	inst_2671	0.856724057982963
inst_977	0.0860890323385808	-0.0971128962288142	0.183201928567395	inst_977	0.856489355888535
inst_1001	0.0633575293777182	-0.119776333602597	0.183133862980315	inst_1001	0.856171141712014
inst_2102	0.0796279775410378	-0.103285997172733	0.18291397471377	inst_2102	0.855143139653012
inst_4990	0.0669134670773794	-0.115876172418436	0.182789639495815	inst_4990	0.85456185870486
inst_2812	0.0607177967365069	-0.121992943050756	0.182710739787263	inst_2812	0.854192993807608
inst_1840	0.0675911404662942	-0.115088155768972	0.182679296235266	inst_1840	0.854045991711028
inst_1841	0.0696028589824713	-0.112787354709869	0.18239021369234	inst_1841	0.852694498727709
inst_1676	0.066334945013317	-0.116031933910754	0.182366878924071	inst_1676	0.852585406095331
inst_1679	0.0530816398967007	-0.129056016170773	0.182137656067474	inst_1679	0.851513763791467
inst_2928	0.0862629902447803	-0.0958245448697811	0.182087535114561	inst_2928	0.851279442771967
inst_5564	0.0574921182220873	-0.124360171805113	0.1818522900272	inst_5564	0.850179645870671
inst_831	0.0649456894856056	-0.116735338224955	0.18168102771056	inst_831	0.849378975526129
inst_5202	0.0656578735548737	-0.115796702269293	0.181454575824167	inst_5202	0.848320287815615
inst_3296	0.0710480271628482	-0.110294563119867	0.181342590282715	inst_3296	0.847796742976229
inst_3552	0.0834125150574579	-0.0978882911487083	0.181300806206166	inst_3552	0.847601397779322
inst_3249	0.0559669936107755	-0.125232567054107	0.181199560664882	inst_3249	0.847128063633121
inst_4991	0.0607300694300046	-0.120464732082754	0.181194801512758	inst_4991	0.84710581406856
inst_6911	0.0712798372754541	-0.10971985370013	0.180999690975584	inst_6911	0.846193650645292
inst_3332	0.0741858572690428	-0.106767490912355	0.180953348181398	inst_3332	0.845976992937301
inst_4814	0.0524345980806578	-0.128133367739233	0.180567965819891	inst_4814	0.844175287610514
inst_6982	0.0633507743802073	-0.116842295696271	0.180193070076478	inst_6982	0.842422608387582
inst_2800	0.0634634022594998	-0.116689899998504	0.180153302258004	inst_2800	0.842236689421027
inst_4988	0.0652297672274674	-0.11486297476402	0.180092741991488	inst_4988	0.841953563451413
inst_2304	0.0680773665247604	-0.112000319750482	0.180077686275243	inst_2304	0.84188317630642
inst_3412	0.0598274078071586	-0.120194860805696	0.180022268612855	inst_3412	0.841624092582059
inst_4201	0.0348239851636177	-0.145196450208679	0.180020435372297	inst_4201	0.841615521978916
inst_1644	0.0498430198771486	-0.130041352525842	0.17988437240299	inst_1644	0.840979412491135
inst_4829	0.0654057315685713	-0.114399757288815	0.179805488857386	inst_4829	0.840610623157458
inst_1792	0.0358628837164632	-0.143937128827656	0.17980001254412	inst_1792	0.840585020784932
inst_4963	0.0620818715061698	-0.117696973776721	0.17977884528289	inst_4963	0.84048606148861
inst_7204	0.0519683694900706	-0.127776733758171	0.179745103248242	inst_7204	0.840328313730448
inst_2405	0.0585895712335556	-0.121127372885159	0.179716944118715	inst_2405	0.840196666673564
inst_1652	0.0651300808533073	-0.11432304522132	0.179453126074627	inst_1652	0.838963288027284
inst_6940	0.0647067565290897	-0.11454051294709	0.179247269476179	inst_6940	0.838000885574491
inst_1419	0.0564400106394555	-0.122681855749525	0.179121866388981	inst_1419	0.837414612219066
inst_7212	0.0618727006674005	-0.11722365891786	0.17909635958526	inst_7212	0.837295365079803
inst_1688	0.056554310547835	-0.122519549656689	0.179073860204524	inst_1688	0.837190177976887
inst_5858	0.0622423528579291	-0.11681639777708	0.179058750635009	inst_5858	0.837119539061876
inst_1651	0.055118204765109	-0.123881901748717	0.179000106513826	inst_1651	0.836845371284435
inst_4553	0.0507766809192655	-0.12816108879714	0.178937769716405	inst_4553	0.836553939835603
inst_1209	0.0860796689756943	-0.0924836197998474	0.178563288775542	inst_1209	0.834803199860642
inst_1699	0.0588959538434365	-0.119550357896154	0.17844631173959	inst_1699	0.834256319230296
inst_2786	0.0548088793840352	-0.123567386946701	0.178376266330736	inst_2786	0.83392884916717
inst_1156	0.079580525355552	-0.0987786840491256	0.178359209404678	inst_1156	0.833849106144117
inst_7014	0.0589889186606672	-0.119351495534713	0.17834041419538	inst_7014	0.833761236453928
inst_3245	0.0704426523116505	-0.107604919295726	0.178047571607377	inst_3245	0.832392164842417
inst_4958	0.0580506762588523	-0.11994953178058	0.178000208039432	inst_4958	0.832170734903779
inst_4950	0.0543019870460549	-0.123556120884381	0.177858107930436	inst_4950	0.831506401117679
inst_6967	0.0590951593888479	-0.118559505377792	0.17765466476664	inst_6967	0.830555281739829
inst_7450	0.0468911194054158	-0.13076256750288	0.177653686908295	inst_7450	0.830550710143504
inst_2865	0.0830667060017082	-0.0945541444150249	0.177620850416733	inst_2865	0.830397195899807
inst_4770	0.0898405974414076	-0.0877582779847118	0.177598875426119	inst_4770	0.830294460378934
inst_7124	0.0551172349882386	-0.122436339735823	0.177553574724061	inst_7124	0.83008267456734
inst_2874	0.0501044917857558	-0.127191786713339	0.177296278499095	inst_2874	0.828879786149531
inst_6606	0.0435744156275061	-0.133573239689449	0.177147655316955	inst_6606	0.828184956272269
inst_5224	0.0445572008841958	-0.132560416012207	0.177117616896402	inst_5224	0.828044523321194
inst_837	0.0576839668395166	-0.119428955556553	0.177112922396069	inst_837	0.828022576010934
inst_1287	0.0568561452385995	-0.120253949198941	0.17711009443754	inst_1287	0.82800935499084
inst_1632	0.049199890609169	-0.127800855285793	0.177000745894962	inst_1632	0.827498138413959
inst_7210	0.0653376131035716	-0.111585532319107	0.176923145422679	inst_7210	0.827135347590508
inst_5211	0.0513333328428714	-0.12546246952086	0.176795802363732	inst_5211	0.826540004651779
inst_7177	0.0438753139819821	-0.132768394067226	0.176643708049208	inst_7177	0.82582894684524
inst_3409	0.0660172594868088	-0.110498193690257	0.176515453177066	inst_3409	0.825229341078589
inst_1685	0.068488083749663	-0.108023025774507	0.17651110952417	inst_1685	0.825209034019049
inst_4810	0.0606588075503216	-0.115668989064907	0.176327796615229	inst_4810	0.824352025817594
inst_164	0.0613664771410549	-0.114860777648132	0.176227254789187	inst_164	0.823881981618279
inst_1834	0.0649059286339195	-0.11125460926865	0.17616053790257	inst_1834	0.823570072766157
inst_2088	0.0429099512683778	-0.133195429250999	0.176105380519376	inst_2088	0.823312205875927
inst_2048	0.0580187739438746	-0.117944079193406	0.175962853137281	inst_2048	0.82264587454065
inst_7269	0.0467729738301365	-0.129174847417314	0.17594782124745	inst_7269	0.82257559878679
inst_3260	0.0541153551593768	-0.121762619859684	0.175877975019061	inst_3260	0.822249059914451
inst_3416	0.0398625110546204	-0.135996191042499	0.175858702097119	inst_3416	0.822158956864616
inst_4567	0.0371888696635269	-0.138511514757139	0.175700384420666	inst_4567	0.821418804150114
inst_2119	0.0502656419491498	-0.125409318015228	0.175674959964378	inst_2119	0.82129994199424
inst_6338	0.0775823502749785	-0.0980843954285031	0.175666745703482	inst_6338	0.821261539412567
inst_5964	0.0663232742502906	-0.109329234543523	0.175652508793814	inst_5964	0.821194980279231
inst_5001	0.05282394677383	-0.122801902421876	0.175625849195706	inst_5001	0.821070343698218
inst_4962	0.0613916244585217	-0.114216508474323	0.175608132932844	inst_4962	0.820987518202406
inst_2808	0.0636603338453532	-0.111892193600503	0.175552527445856	inst_2808	0.820727556377183
inst_6979	0.0588414122546222	-0.116667134138132	0.175508546392754	inst_6979	0.820521940070976
inst_3455	0.074781868757354	-0.100644783392422	0.175426652149776	inst_3455	0.820139075392813
inst_6705	0.0549974508244542	-0.120417657706174	0.175415108530628	inst_6705	0.820085107691676
inst_6166	0.0625129206047689	-0.112845835390208	0.175358755994977	inst_6166	0.819821653331015
inst_6767	0.051606107668106	-0.123735629927149	0.175341737595255	inst_6767	0.819742090422865
inst_4955	0.0492020976875637	-0.126107019177549	0.175309116865113	inst_4955	0.819589584887761
inst_3357	0.0558739619123813	-0.119434939191312	0.175308901103693	inst_3357	0.819588576179168
inst_3324	0.0568289914862285	-0.11838831732711	0.175217308813339	inst_3324	0.819160372052807
inst_4526	0.0612292035530217	-0.113926863154273	0.175156066707295	inst_4526	0.818874058407699
inst_4608	0.0350386402577921	-0.139937302727042	0.174975942984834	inst_4608	0.818031960007113
inst_4820	0.0458511841945364	-0.129106269353319	0.174957453547855	inst_4820	0.817945519836464
inst_4956	0.0509739469109363	-0.12392364695059	0.174897593861526	inst_4956	0.817665669157008
inst_5313	0.049451698189654	-0.125389730960822	0.174841429150476	inst_5313	0.817403092897209
inst_7184	0.0367369202013417	-0.138104440604945	0.174841360806287	inst_7184	0.817402773380538
inst_6932	0.073572456678228	-0.10126058355398	0.174833040232208	inst_6932	0.817363873772932
inst_6970	0.0587648667630246	-0.116026604736047	0.174791471499071	inst_6970	0.817169535330387
inst_490	0.0525052914704512	-0.122246546320813	0.174751837791264	inst_490	0.816984243346088
inst_1635	0.0746385424240262	-0.0999617140869722	0.174600256510998	inst_1635	0.816275584031667
inst_911	0.0518467460942905	-0.12269073770737	0.174537483801661	inst_911	0.815982114646228
